episode,system,total_reward,deliveries_completed,deliveries_total,success_rate,rule_violations,collisions,battery_failures,steps,avg_battery_remaining,symbolic_interventions,timestamp
115,neuro_dqn,-1757.0000976994634,6,10,0.6,50,0,0,500,10.539999999999852,2101,2026-05-22T16:43:58
116,neuro_dqn,-131.50005340203643,8,10,0.8,0,0,0,500,11.859999999999776,2263,2026-05-22T16:44:03
117,neuro_dqn,-1398.600067973137,2,10,0.2,0,3,0,500,17.439999999999877,1889,2026-05-22T16:44:08
118,neuro_dqn,-668.2000715732574,6,10,0.6,0,1,0,500,33.43999999999966,2267,2026-05-22T16:44:13
119,neuro_dqn,-2382.9000428803265,7,10,0.7,82,2,0,500,7.3999999999996975,2340,2026-05-22T16:44:19
120,neuro_dqn,-1703.250026691705,3,10,0.3,42,0,0,500,5.819999999999785,2086,2026-05-22T16:44:24
121,neuro_dqn,-991.600061763078,4,10,0.4,0,0,0,500,17.03999999999975,2087,2026-05-22T16:44:29
122,neuro_dqn,-349.05005292221904,7,10,0.7,0,0,0,500,26.219999999999697,2386,2026-05-22T16:44:34
123,neuro_dqn,-1883.6000811643898,2,10,0.2,0,0,0,500,6.079999999999949,2015,2026-05-22T16:44:39
124,neuro_dqn,-1449.5000718198717,2,10,0.2,0,0,0,500,9.759999999999874,1964,2026-05-22T16:44:44
125,neuro_dqn,-518.8000623434782,6,10,0.6,0,0,0,500,7.059999999999837,2082,2026-05-22T16:44:49
126,neuro_dqn,-1249.5500651039183,4,10,0.4,0,0,0,500,10.959999999999877,2021,2026-05-22T16:44:53
127,neuro_dqn,-1713.1000614501536,2,10,0.2,0,0,0,500,1.2799999999999347,1886,2026-05-22T16:44:58
128,neuro_dqn,-1147.9500590749085,3,10,0.3,0,0,0,500,18.459999999999816,1936,2026-05-22T16:45:02
129,neuro_dqn,-2526.6500433534384,3,10,0.3,97,0,0,500,23.979999999999684,2303,2026-05-22T16:45:07
130,neuro_dqn,-1591.0000798851252,3,10,0.3,0,0,0,500,1.939999999999955,1891,2026-05-22T16:45:12
131,neuro_dqn,-1676.8500102460384,6,10,0.6,58,3,0,500,5.95999999999989,2112,2026-05-22T16:45:17
132,neuro_dqn,-1080.1000705063343,4,10,0.4,0,6,0,500,27.599999999999614,2488,2026-05-22T16:45:23
133,neuro_dqn,-1525.9000656828284,4,10,0.4,39,0,0,500,5.179999999999769,1926,2026-05-22T16:45:27
134,neuro_dqn,-1197.2500762715936,4,10,0.4,0,0,0,500,2.5999999999999486,1820,2026-05-22T16:45:32
135,neuro_dqn,-3158.5500929281116,4,10,0.4,152,0,0,500,22.139999999999752,2320,2026-05-22T16:45:37
